step           time         Umax       divMax           dU  ItrP          ResP
1300   8.125000e+00   1.0000e+00   8.2910e+00   1.5901e-04   103   9.76907e-06
1310   8.187500e+00   1.0000e+00   8.2910e+00   1.5265e-04   103   9.76932e-06
1320   8.250000e+00   1.0000e+00   8.2911e+00   1.4655e-04   103   9.76955e-06
1330   8.312500e+00   1.0000e+00   8.2911e+00   1.4069e-04   103   9.76978e-06
1340   8.375000e+00   1.0000e+00   8.2911e+00   1.3507e-04   103   9.76999e-06
1350   8.437500e+00   1.0000e+00   8.2911e+00   1.2967e-04   103   9.77020e-06
1360   8.500000e+00   1.0000e+00   8.2911e+00   1.2449e-04   103   9.77040e-06
1370   8.562500e+00   1.0000e+00   8.2912e+00   1.1952e-04   103   9.77059e-06
1380   8.625000e+00   1.0000e+00   8.2912e+00   1.1475e-04   103   9.77078e-06
1390   8.687500e+00   1.0000e+00   8.2912e+00   1.1017e-04   103   9.77095e-06
1400   8.750000e+00   1.0000e+00   8.2912e+00   1.0578e-04   103   9.77112e-06
1410   8.812500e+00   1.0000e+00   8.2912e+00   1.0156e-04   103   9.77128e-06
1420   8.875000e+00   1.0000e+00   8.2912e+00   9.7509e-05   103   9.77144e-06
1430   8.937500e+00   1.0000e+00   8.2913e+00   9.3621e-05   103   9.77159e-06
1440   9.000000e+00   1.0000e+00   8.2913e+00   8.9889e-05   103   9.77173e-06
1450   9.062500e+00   1.0000e+00   8.2913e+00   8.6306e-05   103   9.77187e-06
1460   9.125000e+00   1.0000e+00   8.2913e+00   8.2867e-05   103   9.77201e-06
1470   9.187500e+00   1.0000e+00   8.2913e+00   7.9566e-05   103   9.77213e-06
1480   9.250000e+00   1.0000e+00   8.2913e+00   7.6396e-05   103   9.77226e-06
1490   9.312500e+00   1.0000e+00   8.2913e+00   7.3353e-05   103   9.77237e-06
1500   9.375000e+00   1.0000e+00   8.2913e+00   7.0432e-05   103   9.77249e-06
1510   9.437500e+00   1.0000e+00   8.2914e+00   6.7627e-05   103   9.77259e-06
1520   9.500000e+00   1.0000e+00   8.2914e+00   6.4934e-05   103   9.77270e-06
1530   9.562500e+00   1.0000e+00   8.2914e+00   6.2349e-05   103   9.77280e-06
1540   9.625000e+00   1.0000e+00   8.2914e+00   5.9867e-05   103   9.77290e-06
1550   9.687500e+00   1.0000e+00   8.2914e+00   5.7484e-05   103   9.77299e-06
1560   9.750000e+00   1.0000e+00   8.2914e+00   5.5196e-05   103   9.77308e-06
1570   9.812500e+00   1.0000e+00   8.2914e+00   5.2999e-05   103   9.77316e-06
1580   9.875000e+00   1.0000e+00   8.2914e+00   5.0890e-05   103   9.77324e-06
1590   9.937500e+00   1.0000e+00   8.2914e+00   4.8865e-05   103   9.77332e-06
1600   1.000000e+01   1.0000e+00   8.2914e+00   4.6921e-05   103   9.77340e-06
1610   1.006250e+01   1.0000e+00   8.2914e+00   4.5054e-05   103   9.77347e-06
1620   1.012500e+01   1.0000e+00   8.2915e+00   4.3262e-05   103   9.77354e-06
1630   1.018750e+01   1.0000e+00   8.2915e+00   4.1541e-05   103   9.77360e-06
1640   1.025000e+01   1.0000e+00   8.2915e+00   3.9888e-05   103   9.77367e-06
1650   1.031250e+01   1.0000e+00   8.2915e+00   3.8301e-05   103   9.77373e-06
1660   1.037500e+01   1.0000e+00   8.2915e+00   3.6778e-05   103   9.77379e-06
1670   1.043750e+01   1.0000e+00   8.2915e+00   3.5315e-05   103   9.77385e-06
1680   1.050000e+01   1.0000e+00   8.2915e+00   3.3910e-05   103   9.77390e-06
1690   1.056250e+01   1.0000e+00   8.2915e+00   3.2562e-05   103   9.77395e-06
1700   1.062500e+01   1.0000e+00   8.2915e+00   3.1267e-05   103   9.77400e-06
1710   1.068750e+01   1.0000e+00   8.2915e+00   3.0023e-05   103   9.77405e-06
1720   1.075000e+01   1.0000e+00   8.2915e+00   2.8829e-05   103   9.77410e-06
1730   1.081250e+01   1.0000e+00   8.2915e+00   2.7683e-05   103   9.77414e-06
1740   1.087500e+01   1.0000e+00   8.2915e+00   2.6582e-05   103   9.77419e-06
1750   1.093750e+01   1.0000e+00   8.2915e+00   2.5525e-05   103   9.77423e-06
1760   1.100000e+01   1.0000e+00   8.2915e+00   2.4510e-05   103   9.77427e-06
1770   1.106250e+01   1.0000e+00   8.2915e+00   2.3535e-05   103   9.77430e-06
1780   1.112500e+01   1.0000e+00   8.2915e+00   2.2599e-05   103   9.77434e-06
1790   1.118750e+01   1.0000e+00   8.2916e+00   2.1701e-05   103   9.77437e-06
1800   1.125000e+01   1.0000e+00   8.2916e+00   2.0838e-05   103   9.77441e-06
1810   1.131250e+01   1.0000e+00   8.2916e+00   2.0009e-05   103   9.77444e-06
1820   1.137500e+01   1.0000e+00   8.2916e+00   1.9213e-05   103   9.77447e-06
