step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
920    5.750000e+00   1.0000e+00   1.4005e-03   (34,22,34)   1.4250e-03    21   9.54645e-04
930    5.812500e+00   1.0000e+00   1.4006e-03   (34,22,34)   1.3590e-03    21   9.54672e-04
940    5.875000e+00   1.0000e+00   1.4007e-03   (34,22,34)   1.2959e-03    21   9.54697e-04
950    5.937500e+00   1.0000e+00   1.4008e-03   (34,22,34)   1.2358e-03    21   9.54722e-04
960    6.000000e+00   1.0000e+00   1.4008e-03   (34,22,34)   1.1784e-03    21   9.54745e-04
970    6.062500e+00   1.0000e+00   1.4009e-03   (34,22,34)   1.1237e-03    21   9.54767e-04
980    6.125000e+00   1.0000e+00   1.4010e-03   (34,22,34)   1.0714e-03    21   9.54788e-04
990    6.187500e+00   1.0000e+00   1.4010e-03   (34,22,34)   1.0216e-03    21   9.54809e-04
1000   6.250000e+00   1.0000e+00   1.4011e-03   (34,22,34)   9.7408e-04    21   9.54828e-04
1010   6.312500e+00   1.0000e+00   1.4012e-03   (34,22,34)   9.2874e-04    21   9.54846e-04
1020   6.375000e+00   1.0000e+00   1.4012e-03   (34,22,34)   8.8549e-04    21   9.54863e-04
1030   6.437500e+00   1.0000e+00   1.4013e-03   (34,22,34)   8.4424e-04    21   9.54880e-04
1040   6.500000e+00   1.0000e+00   1.4013e-03   (34,22,34)   8.0490e-04    21   9.54896e-04
1050   6.562500e+00   1.0000e+00   1.4014e-03   (34,22,34)   7.6737e-04    21   9.54911e-04
1060   6.625000e+00   1.0000e+00   1.4014e-03   (34,22,34)   7.3159e-04    21   9.54925e-04
1070   6.687500e+00   1.0000e+00   1.4014e-03   (34,22,34)   6.9746e-04    21   9.54939e-04
1080   6.750000e+00   1.0000e+00   1.4015e-03   (34,22,34)   6.6492e-04    21   9.54952e-04
1090   6.812500e+00   1.0000e+00   1.4015e-03   (34,22,34)   6.3388e-04    21   9.54965e-04
1100   6.875000e+00   1.0000e+00   1.4016e-03   (34,22,34)   6.0429e-04    21   9.54977e-04
1110   6.937500e+00   1.0000e+00   1.4016e-03   (34,22,34)   5.7607e-04    21   9.54988e-04
1120   7.000000e+00   1.0000e+00   1.4016e-03   (34,22,34)   5.4917e-04    21   9.54999e-04
1130   7.062500e+00   1.0000e+00   1.4017e-03   (34,22,34)   5.2351e-04    21   9.55009e-04
1140   7.125000e+00   1.0000e+00   1.4017e-03   (34,22,34)   4.9905e-04    21   9.55019e-04
1150   7.187500e+00   1.0000e+00   1.4017e-03   (34,22,34)   4.7573e-04    21   9.55028e-04
1160   7.250000e+00   1.0000e+00   1.4017e-03   (34,22,34)   4.5350e-04    21   9.55037e-04
1170   7.312500e+00   1.0000e+00   1.4018e-03   (34,22,34)   4.3230e-04    21   9.55046e-04
1180   7.375000e+00   1.0000e+00   1.4018e-03   (34,22,34)   4.1209e-04    21   9.55054e-04
1190   7.437500e+00   1.0000e+00   1.4018e-03   (34,22,34)   3.9282e-04    21   9.55062e-04
1200   7.500000e+00   1.0000e+00   1.4018e-03   (34,22,34)   3.7445e-04    21   9.55069e-04
1210   7.562500e+00   1.0000e+00   1.4019e-03   (34,22,34)   3.5694e-04    21   9.55076e-04
1220   7.625000e+00   1.0000e+00   1.4019e-03   (34,22,34)   3.4024e-04    21   9.55083e-04
1230   7.687500e+00   1.0000e+00   1.4019e-03   (34,22,34)   3.2433e-04    21   9.55089e-04
1240   7.750000e+00   1.0000e+00   1.4019e-03   (34,22,34)   3.0916e-04    21   9.55096e-04
1250   7.812500e+00   1.0000e+00   1.4019e-03   (34,22,34)   2.9469e-04    21   9.55101e-04
1260   7.875000e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.8091e-04    21   9.55107e-04
1270   7.937500e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.6776e-04    21   9.55112e-04
1280   8.000000e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.5523e-04    21   9.55117e-04
1290   8.062500e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.4329e-04    21   9.55122e-04
1300   8.125000e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.3191e-04    21   9.55127e-04
1310   8.187500e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.2106e-04    21   9.55131e-04
1320   8.250000e+00   1.0000e+00   1.4020e-03   (34,22,34)   2.1071e-04    21   9.55135e-04
1330   8.312500e+00   1.0000e+00   1.4021e-03   (34,22,34)   2.0085e-04    21   9.55139e-04
1340   8.375000e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.9145e-04    21   9.55143e-04
1350   8.437500e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.8249e-04    21   9.55147e-04
1360   8.500000e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.7395e-04    21   9.55150e-04
1370   8.562500e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.6581e-04    21   9.55154e-04
1380   8.625000e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.5805e-04    21   9.55157e-04
1390   8.687500e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.5066e-04    21   9.55160e-04
1400   8.750000e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.4360e-04    21   9.55163e-04
1410   8.812500e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.3688e-04    21   9.55166e-04
1420   8.875000e+00   1.0000e+00   1.4021e-03   (34,22,34)   1.3048e-04    21   9.55168e-04
1430   8.937500e+00   1.0000e+00   1.4022e-03   (34,22,34)   1.2437e-04    21   9.55171e-04
1440   9.000000e+00   1.0000e+00   1.4022e-03   (34,22,34)   1.1855e-04    21   9.55173e-04
1450   9.062500e+00   1.0000e+00   1.4022e-03   (34,22,34)   1.1301e-04    21   9.55175e-04
1460   9.125000e+00   1.0000e+00   1.4022e-03   (34,22,34)   1.0772e-04    21   9.55177e-04
1470   9.187500e+00   1.0000e+00   1.4022e-03   (34,22,34)   1.0268e-04    21   9.55180e-04
1480   9.250000e+00   1.0000e+00   1.4022e-03   (34,22,34)   9.7873e-05    21   9.55182e-04
