step           time         Umax       divMax   Loc(i,j,k)           dU  ItrP          ResP
1560   9.750000e+00   1.0000e+00   1.0186e-03   (34,16,34)   6.6707e-05    14   9.91976e-04
1570   9.812500e+00   1.0000e+00   1.0186e-03   (34,16,34)   6.3586e-05    14   9.91977e-04
1580   9.875000e+00   1.0000e+00   1.0186e-03   (34,16,34)   6.0612e-05    14   9.91978e-04
1590   9.937500e+00   1.0000e+00   1.0186e-03   (34,16,34)   5.7777e-05    14   9.91979e-04
1600   1.000000e+01   1.0000e+00   1.0186e-03   (34,16,34)   5.5074e-05    14   9.91980e-04
1610   1.006250e+01   1.0000e+00   1.0186e-03   (34,16,34)   5.2498e-05    14   9.91981e-04
1620   1.012500e+01   1.0000e+00   1.0186e-03   (34,16,34)   5.0043e-05    14   9.91982e-04
1630   1.018750e+01   1.0000e+00   1.0186e-03   (34,16,34)   4.7702e-05    14   9.91983e-04
1640   1.025000e+01   1.0000e+00   1.0186e-03   (34,16,34)   4.5471e-05    14   9.91983e-04
1650   1.031250e+01   1.0000e+00   1.0186e-03   (34,16,34)   4.3345e-05    14   9.91984e-04
1660   1.037500e+01   1.0000e+00   1.0186e-03   (34,16,34)   4.1318e-05    14   9.91985e-04
1670   1.043750e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.9386e-05    14   9.91986e-04
1680   1.050000e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.7544e-05    14   9.91986e-04
1690   1.056250e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.5788e-05    14   9.91987e-04
1700   1.062500e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.4115e-05    14   9.91988e-04
1710   1.068750e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.2520e-05    14   9.91988e-04
1720   1.075000e+01   1.0000e+00   1.0186e-03   (34,16,34)   3.0999e-05    14   9.91989e-04
1730   1.081250e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.9550e-05    14   9.91989e-04
1740   1.087500e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.8168e-05    14   9.91990e-04
1750   1.093750e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.6851e-05    14   9.91990e-04
1760   1.100000e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.5596e-05    14   9.91991e-04
1770   1.106250e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.4400e-05    14   9.91991e-04
1780   1.112500e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.3259e-05    14   9.91992e-04
1790   1.118750e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.2172e-05    14   9.91992e-04
1800   1.125000e+01   1.0000e+00   1.0186e-03   (34,16,34)   2.1135e-05    14   9.91993e-04
