step           time         Umax       divMax           dU  ItrP          ResP
960    6.000000e+00   1.0000e+00   3.9983e+00   6.4108e-03    82   9.47856e-06
970    6.062500e+00   1.0000e+00   3.9998e+00   6.2919e-03    82   9.49259e-06
980    6.125000e+00   1.0000e+00   4.0011e+00   6.1778e-03    82   9.50575e-06
990    6.187500e+00   1.0000e+00   4.0022e+00   6.0686e-03    82   9.51816e-06
1000   6.250000e+00   1.0000e+00   4.0032e+00   5.9641e-03    82   9.52994e-06
1010   6.312500e+00   1.0000e+00   4.0040e+00   5.8642e-03    82   9.54116e-06
1020   6.375000e+00   1.0000e+00   4.0047e+00   5.7687e-03    82   9.55192e-06
1030   6.437500e+00   1.0000e+00   4.0053e+00   5.6774e-03    82   9.56229e-06
1040   6.500000e+00   1.0000e+00   4.0058e+00   5.5898e-03    82   9.57235e-06
1050   6.562500e+00   1.0000e+00   4.0062e+00   5.5059e-03    82   9.58213e-06
1060   6.625000e+00   1.0000e+00   4.0066e+00   5.4253e-03    82   9.59170e-06
1070   6.687500e+00   1.0000e+00   4.0068e+00   5.3476e-03    82   9.60110e-06
1080   6.750000e+00   1.0000e+00   4.0070e+00   5.2728e-03    82   9.61037e-06
1090   6.812500e+00   1.0000e+00   4.0071e+00   5.2005e-03    82   9.61953e-06
1100   6.875000e+00   1.0000e+00   4.0072e+00   5.1305e-03    82   9.62860e-06
1110   6.937500e+00   1.0000e+00   4.0073e+00   5.0627e-03    82   9.63762e-06
1120   7.000000e+00   1.0000e+00   4.0073e+00   4.9970e-03    82   9.64657e-06
1130   7.062500e+00   1.0000e+00   4.0073e+00   4.9332e-03    82   9.65548e-06
1140   7.125000e+00   1.0000e+00   4.0073e+00   4.8711e-03    82   9.66435e-06
1150   7.187500e+00   1.0000e+00   4.0073e+00   4.8108e-03    82   9.67319e-06
1160   7.250000e+00   1.0000e+00   4.0073e+00   4.7520e-03    82   9.68199e-06
1170   7.312500e+00   1.0000e+00   4.0072e+00   4.6949e-03    82   9.69075e-06
1180   7.375000e+00   1.0000e+00   4.0072e+00   4.6392e-03    82   9.69948e-06
