step           time         Umax       divMax           dU  ItrP          ResP
1720   1.075000e+01   1.0000e+00   6.0597e-05   6.9063e-05    83   9.92183e-05
1730   1.081250e+01   1.0000e+00   6.0600e-05   6.6627e-05    83   9.92224e-05
1740   1.087500e+01   1.0000e+00   6.0603e-05   6.4278e-05    83   9.92263e-05
1750   1.093750e+01   1.0000e+00   6.0606e-05   6.2011e-05    83   9.92301e-05
1760   1.100000e+01   1.0000e+00   6.0609e-05   5.9824e-05    83   9.92338e-05
1770   1.106250e+01   1.0000e+00   6.0612e-05   5.7715e-05    83   9.92373e-05
1780   1.112500e+01   1.0000e+00   6.0614e-05   5.5679e-05    83   9.92407e-05
1790   1.118750e+01   1.0000e+00   6.0617e-05   5.3716e-05    83   9.92440e-05
1800   1.125000e+01   1.0000e+00   6.0619e-05   5.1821e-05    83   9.92471e-05
1810   1.131250e+01   1.0000e+00   6.0621e-05   4.9994e-05    83   9.92502e-05
1820   1.137500e+01   1.0000e+00   6.0624e-05   4.8231e-05    83   9.92532e-05
1830   1.143750e+01   1.0000e+00   6.0626e-05   4.6530e-05    83   9.92560e-05
1840   1.150000e+01   1.0000e+00   6.0628e-05   4.4889e-05    83   9.92587e-05
1850   1.156250e+01   1.0000e+00   6.0630e-05   4.3306e-05    83   9.92614e-05
1860   1.162500e+01   1.0000e+00   6.0632e-05   4.1778e-05    83   9.92640e-05
1870   1.168750e+01   1.0000e+00   6.0633e-05   4.0305e-05    83   9.92664e-05
1880   1.175000e+01   1.0000e+00   6.0635e-05   3.8883e-05    83   9.92688e-05
1890   1.181250e+01   1.0000e+00   6.0637e-05   3.7512e-05    83   9.92711e-05
1900   1.187500e+01   1.0000e+00   6.0639e-05   3.6189e-05    83   9.92733e-05
1910   1.193750e+01   1.0000e+00   6.0640e-05   3.4912e-05    83   9.92755e-05
1920   1.200000e+01   1.0000e+00   6.0642e-05   3.3681e-05    83   9.92775e-05
1930   1.206250e+01   1.0000e+00   6.0643e-05   3.2493e-05    83   9.92795e-05
1940   1.212500e+01   1.0000e+00   6.0645e-05   3.1347e-05    83   9.92814e-05
1950   1.218750e+01   1.0000e+00   6.0646e-05   3.0241e-05    83   9.92833e-05
1960   1.225000e+01   1.0000e+00   6.0647e-05   2.9175e-05    83   9.92851e-05
1970   1.231250e+01   1.0000e+00   6.0649e-05   2.8146e-05    83   9.92868e-05
1980   1.237500e+01   1.0000e+00   6.0650e-05   2.7153e-05    83   9.92884e-05
1990   1.243750e+01   1.0000e+00   6.0651e-05   2.6195e-05    83   9.92901e-05
2000   1.250000e+01   1.0000e+00   6.0652e-05   2.5271e-05    83   9.92916e-05
